,Depth ice/snow [m],δD H2O [‰ SMOW],δ18O H2O [‰ SMOW],Estimated Age [ka BP],Milan_ECC,Milan_OMEGA,Milan_OBL,Milan_PREC,Milan_90SJune,Milan_90SDec,delta-iso18o-Base at 6.6m,0.6*iso18o-Base at 6.6m,0.7*iso18o-Base at 6.6m,0.4*iso18o-Base at 6.6m,nearest_temp_age,Volume – km3,CO2,CH4
881,491.15,-444.6,-56.27,31.54442,0.01641459654,303.8933806,22.34692034,-0.013485833399999998,0.0,503.4997944,-6.094000000000001,-3.6564000000000005,-4.2658000000000005,-2.4376000000000007,,0.0,195.21363630798112,458.69520211560257
882,491.7,-436.3,-55.09,31.594359999999998,0.01639896532,303.1158148,22.350765720000002,-0.013599197199999996,0.0,503.4658352,-4.9140000000000015,-2.948400000000001,-3.439800000000001,-1.9656000000000007,,0.0,195.35223680182844,453.22387608613536
883,492.25,-442.5,-56.07,31.645825000000002,0.016382856775,302.31450474999997,22.354728525000002,-0.013716022750000004,0.0,503.430839,-5.893999999999998,-3.536399999999999,-4.125799999999999,-2.3575999999999993,,0.0,195.49506968961083,447.5854741216468
884,492.8,-441.3,-55.87,31.69912,0.01636617544,301.4847016,22.35883224,-0.013837002400000001,0.0,503.3945984,-5.6939999999999955,-3.416399999999997,-3.9857999999999967,-2.2775999999999983,,0.0,195.6429814501153,441.746581035134
885,493.35,-432.0,-54.67,31.752415000000003,0.016349494104999997,300.65489844999996,22.362935955,-0.013957982050000007,0.0,503.3583578,-4.494,-2.6963999999999997,-3.1457999999999995,-1.7976,,0.0,195.79089321061977,435.9076879486208
886,493.9,-442.6,-56.07,31.805709999999998,0.01633281277,299.82509530000004,22.36703967,-0.014078961699999995,0.0,503.3221172,-5.893999999999998,-3.536399999999999,-4.125799999999999,-2.3575999999999993,,0.0,195.9388049711242,429.86988602279564
887,494.45,-438.7,-55.52,31.856215,0.016317004705,299.03873245000005,22.370928555000003,-0.014193608049999997,0.0,503.2877738,-5.344000000000001,-3.206400000000001,-3.7408000000000006,-2.1376000000000004,,0.0,196.0789735322327,424.1134673065387
888,495.0,-445.1,-56.27,31.9061,0.016301390699999998,298.26202300000006,22.3747697,-0.014306846999999998,0.0,503.253852,-6.094000000000001,-3.6564000000000005,-4.2658000000000005,-2.4376000000000007,,0.0,196.21742138236434,418.4277144571086
889,495.55,-440.2,-55.69,31.955930000000002,0.01628579391,297.4861699,22.378606610000002,-0.014419961100000005,0.0,503.2199676,-5.513999999999996,-3.3083999999999976,-3.859799999999997,-2.2055999999999982,,0.0,196.35571658878027,406.95390243902335
890,496.1,-443.8,-56.23,32.00518,0.016270414919999997,296.72033159999995,22.38253354,-0.014525853400000004,0.0,503.1953354,-6.053999999999995,-3.632399999999997,-4.2377999999999965,-2.421599999999998,,0.0,196.49240209783073,397.5873861247367
891,496.65,-443.0,-56.18,32.05182,0.01625614308,296.0030084,22.38733746,-0.014578556599999999,0.0,503.2433746,-6.003999999999998,-3.6023999999999985,-4.202799999999998,-2.4015999999999993,,0.0,196.6218439687366,390.723756131745
892,497.2,-446.5,-56.55,32.09844,0.01624187736,295.2859928000001,22.392139320000002,-0.014631237199999996,0.0,503.2913932,-6.373999999999995,-3.824399999999997,-4.461799999999997,-2.549599999999998,,0.0,196.75123033283674,383.8630693763145
893,497.75,-441.5,-55.96,32.145025000000004,0.01622762235,294.56951549999997,22.396937575000003,-0.014683878250000004,0.0,503.33937575,-5.783999999999999,-3.4703999999999993,-4.048799999999999,-2.3135999999999997,,0.0,196.88051956002695,383.0925925925927
894,498.3,-446.5,-56.46,32.190380000000005,0.016213743719999996,293.8719555999999,22.40160914,-0.014735129400000005,0.0,503.3860914,-6.283999999999999,-3.770399999999999,-4.398799999999999,-2.5136,,0.0,197.0063951186662,384.5533011272143
895,498.85,-444.9,-56.38,32.23471,0.016200178739999998,293.19016020000004,22.40617513,-0.0147852223,0.0,503.43175130000003,-6.204000000000001,-3.7224000000000004,-4.3428,-2.4816000000000003,,0.0,197.12942595351305,385.98099838969404
896,499.4,-438.9,-55.6,32.278999999999996,0.016186626,292.50898000000007,22.410737,-0.014835269999999996,0.0,503.47737,-5.4239999999999995,-3.2543999999999995,-3.7967999999999993,-2.1696,,0.0,197.25234577474848,387.4074074074073
897,499.95,-438.3,-55.6,32.323275,0.01617307785,291.82803049999995,22.415297325,-0.014885300750000004,0.0,503.52297325,-5.4239999999999995,-3.2543999999999995,-3.7967999999999993,-2.1696,,0.0,197.37522396587966,388.8333333333334
898,500.5,-436.4,-55.24,32.368700000000004,0.016159177799999997,291.12939399999993,22.4199761,-0.014936631000000004,0.0,503.569761,-5.064,-3.0383999999999998,-3.5448,-2.0256000000000003,,0.0,197.50129379833888,390.2962962962964
